"id","area_km"
4620521.05,1.35
4620521.06,2.09
4620521.07,2.06
4620522.01,1.23
4620522.02,1.09
4620523.00,0.76
4620530.00,2.25
4620540.00,0.88
4620550.02,13.33
4620550.03,5.02
4620550.04,4.43
4620570.00,12.24
4620580.01,1.17
4620580.02,0.80
4620580.03,1.08
4620581.01,1.31
4620581.02,0.67
4620582.01,1.16
4620582.02,1.28
4620583.00,0.74
4620584.00,1.60
4620585.01,3.46
4620585.02,5.59
4620590.01,1.50
4620590.02,0.30
4620591.01,0.49
4620591.02,0.69
4620592.00,0.96
4620593.01,1.04
4620593.02,0.48
4620594.01,0.40
4620594.02,7.94
4620600.01,0.74
4620600.02,0.41
4620600.03,0.70
4620601.01,0.32
4620601.02,0.43
4620602.01,0.54
4620602.02,0.62
4620603.01,0.53
4620603.02,0.62
4620603.03,0.36
4620604.01,0.93
4620604.02,0.34
4620604.03,0.50
4620604.04,0.76
4620604.05,0.59
4620605.01,1.35
4620605.02,0.58
4620605.03,1.03
4620605.04,1.58
4620605.05,0.57
4620610.01,0.93
4620610.02,0.46
4620610.03,0.79
4620610.04,0.19
4620610.05,0.39
4620610.06,0.34
4620610.07,0.55
4620611.01,0.71
4620611.02,0.56
4620612.00,0.75
4620613.00,0.99
4620614.00,0.44
4620615.00,0.56
4620616.00,0.75
4620617.01,0.90
4620617.02,0.66
4620618.00,0.50
4620619.00,0.57
4620625.01,5.16
4620625.02,2.00
4620626.00,10.59
4620627.00,5.14
4620628.01,1.75
4620628.02,0.82
4620629.00,1.19
4620630.01,1.21
4620630.02,2.21
4620631.00,25.02
4620632.01,1.52
4620632.02,1.99
4620632.03,4.21
4620632.04,1.90
4620633.00,1.63
4620634.00,0.82
4620635.00,1.04
4620636.00,2.23
4620637.01,1.59
4620637.02,1.42
4620638.01,0.92
4620638.02,0.45
4620638.03,0.68
4620638.04,0.82
4620639.00,1.34
4620640.00,0.80
4620641.01,1.36
4620641.02,1.28
4620642.00,9.63
4620643.01,3.17
4620643.02,3.62
4620643.03,1.55
4620644.00,1.49
4620645.00,1.53
4620646.01,0.52
4620646.02,0.63
4620646.03,0.50
4620647.01,0.31
4620647.02,1.62
4620648.00,1.13
4620649.01,1.46
4620649.02,1.29
4620650.01,0.77
4620650.02,0.73
4620650.04,1.78
4620650.05,0.87
4620651.01,2.16
4620651.02,5.06
4620652.01,3.00
4620652.04,1.27
4620652.06,2.21
4620652.07,9.61
4620652.08,1.49
4620652.09,1.04
4620653.00,0.61
4620654.00,1.70
4620655.01,1.47
4620655.02,2.48
4620656.01,6.15
4620656.03,3.80
4620656.04,2.05
4620657.01,1.90
4620657.02,1.54
4620657.03,1.78
4620658.01,1.24
4620658.02,0.91
4620658.03,5.75
4620659.04,6.04
4620659.05,2.37
4620659.06,1.80
4620659.08,1.38
4620659.09,0.87
4620659.1,1.09
4620659.11,2.43
4620660.01,2.00
4620660.02,1.41
4620660.03,2.07
4620661.01,5.67
4620661.03,19.32
4620661.04,0.97
4620662.00,28.94
4620675.00,3.78
4620676.01,1.51
4620676.02,1.13
4620676.03,1.17
4620676.04,1.52
4620677.01,2.28
4620677.02,2.18
4620677.05,1.90
4620677.06,2.68
4620677.07,1.01
4620677.08,2.50
4620677.09,1.26
4620677.1,1.39
4620681.00,36.36
4620682.02,11.97
4620682.03,21.50
4620682.04,1.08
4620682.05,0.77
4620682.06,1.60
4620683.00,2.19
4620684.03,17.11
4620684.05,3.97
4620684.08,2.70
4620684.09,10.71
4620684.1,4.08
4620684.11,3.64
4620685.02,56.60
4620685.03,7.71
4620685.04,0.90
4620685.05,2.75
4620685.07,3.40
4620685.08,3.53
4620686.01,26.12
4620686.02,3.96
4620686.03,2.03
4620687.01,3.16
4620687.03,15.82
4620687.04,1.74
4620687.06,2.63
4620687.07,1.99
4620687.09,20.45
4620687.1,21.97
4620688.02,89.76
4620688.03,2.03
