X,Y,id,CMAUID,CTUID
-79.7369632315055,43.8934275154901,35211961,535,5350585.05
-79.7300494534957,43.8888463431183,35211962,535,5350585.05
-79.8342198156367,43.7501410798783,35211963,535,5350586.01
-79.8150232355948,43.6941683569986,35211916,535,5350576.44
-79.795438619671,43.6903127814076,35211918,535,5350573.10
-79.7962296890193,43.6898134847735,35211919,535,5350573.10
-79.6681277428114,43.6271233639544,35211044,535,5350528.34
-79.6476362477566,43.6188563527158,35211046,535,5350528.25
-79.6488135211936,43.7022105708654,35211052,535,5350529.01
-79.6454097090417,43.7037216479032,35211053,535,5350529.01
-79.6475442943188,43.7063214157475,35211054,535,5350529.01
-79.6455760347022,43.7095057472764,35211055,535,5350529.01
-79.6417650131284,43.7094362084485,35211056,535,5350529.01
-79.7244601059758,43.5654276620687,35211978,535,5350516.43
-79.7283962264704,43.5629194152708,35211979,535,5350516.44
-79.6423993865788,43.5862197186818,35211981,535,5350520.10
-79.6234598579867,43.5818401198977,35211982,535,5350520.07
-79.6202843154014,43.5800596063547,35211983,535,5350520.07
-79.7370566319666,43.8985911874997,35211984,535,5350585.05
-79.7291270887296,43.8978419998478,35211985,535,5350585.05
-79.6354601528702,43.5918353752781,35210876,535,5350520.09
-79.6383926636147,43.5855308065015,35210878,535,5350520.10
-79.6542078083209,43.5867756432733,35210886,535,5350527.01
-79.6560745173067,43.5850376895101,35210887,535,5350527.01
-79.6475686909917,43.5930480462816,35210888,535,5350527.01
-79.6523256232583,43.5820058239158,35210889,535,5350527.01
-79.6523044467611,43.5821838356755,35210890,535,5350527.01
-79.6497538496866,43.5840879998626,35210891,535,5350527.01
-79.6485814201575,43.5705123506691,35210896,535,5350520.01
-79.6459094724195,43.5664219285439,35210897,535,5350520.01
-79.7140136371324,43.7299041841982,35211257,535,5350562.09
-79.7107022534075,43.7325963184172,35211258,535,5350562.09
-79.5932033136664,43.6145529387691,35210972,535,5350524.02
-79.5930254258834,43.6130985386012,35210973,535,5350524.02
-79.5982133931995,43.6171879671491,35210974,535,5350523.00
-79.5949775467598,43.6185460347065,35210975,535,5350526.01
-79.594969784772,43.6197506881806,35210976,535,5350526.01
-79.5929888873218,43.6217703715674,35210977,535,5350526.01
-79.5925427964848,43.6235398235266,35210981,535,5350526.01
-79.6428728610913,43.6074484956555,35211943,535,5350528.45
-79.6458649271818,43.6096395557975,35211944,535,5350528.45
-79.6432960478194,43.606914278912,35211945,535,5350528.45
-79.6454805574058,43.6058899339378,35211946,535,5350528.45
-79.6489417523441,43.6074761321062,35211947,535,5350528.45
-79.708924202992,43.5480784902868,35211948,535,5350516.37
-79.7172878199101,43.5466869625845,35211949,535,5350516.38
-79.7143432210454,43.5440999825656,35211950,535,5350516.38
-79.7202702211261,43.5447286463271,35211951,535,5350516.38
-79.7210165782819,43.5421380695296,35211952,535,5350516.38
-79.7176421263958,43.5415368159766,35211953,535,5350516.38
-79.7203576885469,43.5391187649082,35211954,535,5350516.38
-79.72484266659,43.5413677159009,35211955,535,5350516.38
-79.6550636808882,43.7201251875648,35211097,535,5350532.01
-79.6525752174631,43.7235110640782,35211098,535,5350532.02
-79.6505803282335,43.7241474736888,35211099,535,5350532.02
-79.6398364808173,43.734033901144,35211102,535,5350531.02
-79.638749437224,43.7343803774831,35211103,535,5350531.02
-79.8423537518183,43.3174459110986,35240391,537,5370201.00
-79.8401742963929,43.3139872772148,35240392,537,5370203.00
-79.8367835643475,43.3093722458521,35240393,537,5370203.00
-79.8282389137684,43.7467029104518,35211964,535,5350586.01
-79.7544837985811,43.5585290152627,35211965,535,5350516.42
-79.7525279052622,43.5574509230463,35211966,535,5350516.42
-79.7529524076656,43.5554137730872,35211967,535,5350516.42
-79.7586293520015,43.5538016698582,35211968,535,5350516.42
-79.7414156875484,43.5642180670351,35211969,535,5350516.41
-79.7396435224033,43.5626356380904,35211970,535,5350516.41
-79.7201579000599,43.7414416758409,35211123,535,5350562.08
-79.7229373236992,43.7395759465363,35211124,535,5350562.08
-79.7221979185911,43.7373792551102,35211125,535,5350562.08
-79.7253522513631,43.7367258873223,35211126,535,5350562.08
-79.7231956521491,43.7338589913506,35211127,535,5350562.08
-79.8746885215354,43.2904316843824,35240401,537,5370202.00
-79.7576372833234,43.8745586813905,35211986,535,5350585.02
-79.7577853476942,43.8722439437351,35211987,535,5350585.02
-79.7637659759016,43.8712013766473,35211988,535,5350585.02
-79.8246078989818,43.3218487761635,35240410,537,5370204.00
-79.8224848325585,43.3226573649037,35240411,537,5370204.00
-79.8231584557335,43.3182657167758,35240412,537,5370204.00
-79.818793281288,43.315566721623,35240413,537,5370204.00
-79.8133733563557,43.3166432958912,35240414,537,5370204.00
-79.8041761566511,43.3213354190038,35240417,537,5370205.02
-79.8046748604143,43.325216660686,35240420,537,5370206.00
-79.8017114651948,43.32707824429,35240421,537,5370206.00
-79.7994775065586,43.3241624118728,35240422,537,5370206.00
-79.7975372412117,43.3267398366366,35240423,537,5370213.00
-79.5911300367633,43.6287275096067,35210984,535,5350526.02
-79.5867037265029,43.631638421909,35210985,535,5350526.02
-79.5939908159252,43.6322527753041,35210989,535,5350527.04
-79.6024608453243,43.6374676311136,35210993,535,5350527.04
-79.7872681617146,43.7095049189944,35211369,535,5350576.07
-79.7876588970612,43.7094875853695,35211370,535,5350576.07
-79.7836227912813,43.7124000306099,35211371,535,5350576.05
-79.774149783552,43.7080273676014,35211375,535,5350575.05
-79.7698908035936,43.7082787355178,35211376,535,5350575.05
-79.264398115887,43.8070945322453,35204740,535,5350378.24
