X,Y,DAUID,cma,pop,area_km2
-79.721914,43.407536,35240247,535,328,0.1
-79.952364,43.269424,35250037,537,542,0.3
-79.699088,43.402542,35240257,535,512,0.1
-79.719814,43.405596,35240248,535,541,0.26
-79.715597,43.407777,35240246,535,475,0.22
-79.834146,43.256203,35250703,537,479,0.1
-79.705495,43.407415,35240582,535,492,0.22
-79.710761,43.410651,35240244,535,768,0.34
-79.885853,43.263581,35250409,537,377,0.08
-79.731246,43.471058,35240607,535,635,0.13
-79.842163,43.257348,35250694,537,402,0.09
-79.674321,43.458972,35240211,535,503,0.86
-79.737703,43.379084,35240503,537,441,0.12
-79.881586,43.25905,35250406,537,662,0.09
-79.859695,43.260441,35250474,537,719,0.16
-79.807099,43.389432,35240656,537,410,0.11
-79.903505,43.390808,35240647,537,668,10.2
-79.86874,43.262823,35250498,537,525,0.13
-79.744722,43.383697,35240898,537,3020,0.6
-79.864377,43.271564,35250493,537,387,0.06
-79.846236,43.266538,35250484,537,416,1.56
-79.840711,43.258816,35250693,537,404,0.2
-79.854209,43.268586,35250485,537,544,0.12
-79.858587,43.272324,35250495,537,458,0.08
-79.889062,43.267676,35250410,537,436,0.76
-79.912696,43.287725,35250031,537,468,6.06
-79.861229,43.272096,35250494,537,348,0.06
-79.845867,43.254587,35250953,537,364,0.05
-79.830764,43.25612,35250704,537,586,0.29
-79.840906,43.266885,35250692,537,477,0.64
-79.859091,43.274116,35250496,537,233,0.5
-80.007199,43.27786,35250938,537,714,6.5
-79.826049,43.380951,35240357,537,413,0.09
-79.951339010777,43.2882322059047,35250941,537,781,8.5
-79.880597,43.267543,35250499,537,520,1.64
-79.838979,43.361561,35240343,537,336,0.11
-79.76456,43.351035,35240475,537,656,0.25
-79.873996,43.259443,35250419,537,815,0.31
-79.851026,43.252197,35250459,537,742,0.12
-79.881855,43.257161,35250405,537,411,0.08
-79.887141,43.259097,35250408,537,454,0.15
-79.874808,43.255905,35250420,537,932,0.21
-79.877364,43.256538,35250399,537,730,0.05
-79.825223,43.25232,35250706,537,459,0.07
-79.856735,43.256579,35250464,537,354,0.07
-79.942956,43.272712,35250034,537,680,0.63
-79.879798,43.261467,35250801,537,871,0.1
-79.860513,43.257831,35250466,537,462,0.13
-79.817027,43.253535,35250774,537,452,0.12
-79.896261,43.267691,35250848,537,1184,0.71
-79.829246,43.252931,35250705,537,493,0.17
-79.802288,43.394724,35240665,537,494,0.13
-79.93697,43.261958,35250044,537,419,0.12
-79.884417,43.255298,35250404,537,444,0.07
-79.853392,43.253086,35250458,537,435,0.02
-79.970076,43.266771,35250835,537,436,0.28
-79.75553,43.405964,35240267,535,68,8.02
-79.717308,43.396164,35240251,535,851,0.29
-79.881291,43.26262,35250802,537,424,0.14
-79.72502,43.40023,35240268,535,795,0.91
-79.843052,43.256145,35250695,537,480,0.02
-79.708559,43.399543,35240254,535,413,0.18
-79.877375,43.260659,35250417,537,559,0.05
-79.889029,43.331718,35250947,537,705,0.79
-79.812029,43.321702,35240543,537,538,0.59
-79.8249,43.321801,35240410,537,297,0.09
-79.92013,43.424603,35240642,537,465,4.97
-79.894578,43.332765,35250880,537,529,0.21
-79.899245,43.335428,35250881,537,621,0.17
-79.800799,43.322251,35240428,537,492,0.14
-79.726148,43.402401,35240271,535,251,0.09
-79.874744,43.426996,35240644,537,557,16.95
-79.80428,43.321234,35240417,537,620,0.03
-79.905139,43.260116,35250675,537,418,0.11
-79.915623,43.441866,35240643,537,624,15.62
-79.913008,43.319822,35250889,537,560,0.6
-79.836903,43.309398,35240393,537,555,0.34
-79.848048,43.308667,35240395,537,570,0.29
-79.909166,43.323372,35250888,537,523,0.2
-79.84797,43.313724,35240593,537,1380,3.76
-79.899867,43.265501,35250502,537,524,0.11
-79.864649,43.260986,35250847,537,680,0.06
-79.848333,43.257849,35250479,537,598,0.1
-79.914025,43.260624,35250670,537,299,0.43
-79.809199,43.255073,35250757,537,458,5.45
-79.851659,43.259999,35250477,537,521,0.06
-79.803773,43.324725,35240420,537,516,0.16
-79.9066030642843,43.340614155072,35250877,537,620,3.37
-79.797371,43.327221,35240423,537,608,0.06
-79.801158,43.326916,35240421,537,346,0.09
-79.792597,43.326635,35240427,537,1079,0.16
-79.897386,43.338489,35250878,537,513,0.25
-79.879343,43.253458,35250402,537,480,0.06
-79.795897,43.330245,35240425,537,411,0.13
-79.889029,43.253865,35250512,537,418,0.08
-79.799475,43.372166,35240529,537,465,0.23
-79.795505,43.394683,35240664,537,632,0.72
-79.760906,43.367768,35240489,537,466,0.12
-79.826561,43.378685,35240358,537,705,0.52
-79.758442,43.369517,35240490,537,281,0.09
-79.814796,43.328679,35240540,537,454,0.11
-79.71732,43.380033,35240260,535,815,0.44
-79.854012,43.260923,35250475,537,443,0.16
-79.718877,43.386309,35240262,535,359,0.1
-79.784112,43.395174,35240678,537,1473,3.71
-79.84834,43.203932,35250616,537,275,0.04
-79.845408,43.204964,35250614,537,382,0.07
-79.994939,43.225442,35250160,537,397,0.16
-79.804861,43.197658,35250192,537,1417,0.41
-79.823962,43.202525,35250991,537,690,0.41
-79.85877,43.207561,35250643,537,551,0.12
-79.649423,43.483278,35240145,535,544,0.18
-79.652145,43.484316,35240148,535,578,0.63
-79.69211,43.488047,35240166,535,398,0.1
-79.662821,43.492805,35240134,535,536,2.89
-79.660651,43.495328,35240152,535,534,0.16
-79.800466,43.189094,35250188,537,718,0.12
-79.810588,43.199097,35250992,537,494,4.87
-79.870042,43.200375,35250648,537,984,0.21
-79.795763,43.189218,35250186,537,317,0.08
-79.712935,43.476031,35240612,535,375,0.07
-79.693636,43.470173,35240193,535,1054,0.15
-79.660388,43.46908,35240137,535,519,0.29
-79.981783,43.208829,35250147,537,437,0.23
-79.85283,43.190926,35250582,537,632,0.09
-79.922097,43.198636,35250997,537,1137,0.58
-79.848957,43.189056,35250583,537,575,0.31
-79.74995,43.1853,35250972,537,431,7.69
-79.858916,43.217929,35250629,537,917,0.65
-79.832925,43.21404,35250606,537,536,0.13
-79.860466,43.262875,35250473,537,443,0.18
-79.863923,43.264142,35250472,537,442,0.11
-79.824837,43.259895,35250776,537,382,0.62
-79.878832,43.26567,35250413,537,556,0.08
-79.867945,43.265293,35250497,537,663,0.25
-79.848704,43.261062,35250480,537,495,0.09
-79.945169,43.274368,35250035,537,392,0.12
-79.89873,43.268523,35250501,537,543,0.11
-79.788011,43.342599,35240466,537,665,0.12
-79.826852,43.349016,35240335,537,401,0.16
-79.771567,43.340996,35240471,537,517,0.26
-79.844735,43.202738,35250615,537,414,0.15
